"id","n","label","parent"
"total -  Thriller  -  Brazil",59,"Brazil","total -  Thriller"
"total -  Action  -  Bulgaria",219,"Bulgaria","total -  Action"
"total -  Adventure  -  Bulgaria",132,"Bulgaria","total -  Adventure"
"total -  Animation  -  Bulgaria",44,"Bulgaria","total -  Animation"
"total -  Comedy  -  Bulgaria",176,"Bulgaria","total -  Comedy"
"total -  Crime  -  Bulgaria",125,"Bulgaria","total -  Crime"
"total -  Drama  -  Bulgaria",303,"Bulgaria","total -  Drama"
"total -  Fantasy  -  Bulgaria",45,"Bulgaria","total -  Fantasy"
"total -  Mystery  -  Bulgaria",43,"Bulgaria","total -  Mystery"
"total -  Romance  -  Bulgaria",100,"Bulgaria","total -  Romance"
"total -  Thriller  -  Bulgaria",61,"Bulgaria","total -  Thriller"
"total -  Action  -  Canada",175,"Canada","total -  Action"
"total -  Adventure  -  Canada",109,"Canada","total -  Adventure"
"total -  Animation  -  Canada",49,"Canada","total -  Animation"
"total -  Comedy  -  Canada",177,"Canada","total -  Comedy"
"total -  Crime  -  Canada",146,"Canada","total -  Crime"
"total -  Drama  -  Canada",276,"Canada","total -  Drama"
"total -  Fantasy  -  Canada",40,"Canada","total -  Fantasy"
"total -  Mystery  -  Canada",54,"Canada","total -  Mystery"
"total -  Romance  -  Canada",85,"Canada","total -  Romance"
"total -  Thriller  -  Canada",69,"Canada","total -  Thriller"
"total -  Action  -  Chile",133,"Chile","total -  Action"
"total -  Adventure  -  Chile",123,"Chile","total -  Adventure"
"total -  Animation  -  Chile",72,"Chile","total -  Animation"
"total -  Comedy  -  Chile",197,"Chile","total -  Comedy"
"total -  Crime  -  Chile",98,"Chile","total -  Crime"
"total -  Drama  -  Chile",330,"Chile","total -  Drama"
"total -  Music  -  Chile",37,"Chile","total -  Music"
"total -  Mystery  -  Chile",38,"Chile","total -  Mystery"
"total -  Romance  -  Chile",118,"Chile","total -  Romance"
"total -  Thriller  -  Chile",55,"Chile","total -  Thriller"
"total -  Action  -  Colombia",146,"Colombia","total -  Action"
"total -  Adventure  -  Colombia",110,"Colombia","total -  Adventure"
"total -  Animation  -  Colombia",59,"Colombia","total -  Animation"
"total -  Comedy  -  Colombia",192,"Colombia","total -  Comedy"
"total -  Crime  -  Colombia",111,"Colombia","total -  Crime"
"total -  Drama  -  Colombia",287,"Colombia","total -  Drama"
"total -  Fantasy  -  Colombia",36,"Colombia","total -  Fantasy"
"total -  Mystery  -  Colombia",39,"Colombia","total -  Mystery"
"total -  Romance  -  Colombia",109,"Colombia","total -  Romance"
"total -  Thriller  -  Colombia",68,"Colombia","total -  Thriller"
"total -  Action  -  Costa Rica",125,"Costa Rica","total -  Action"
"total -  Adventure  -  Costa Rica",102,"Costa Rica","total -  Adventure"
"total -  Animation  -  Costa Rica",60,"Costa Rica","total -  Animation"
"total -  Comedy  -  Costa Rica",202,"Costa Rica","total -  Comedy"
"total -  Crime  -  Costa Rica",96,"Costa Rica","total -  Crime"
"total -  Drama  -  Costa Rica",322,"Costa Rica","total -  Drama"
"total -  Music  -  Costa Rica",34,"Costa Rica","total -  Music"
"total -  Mystery  -  Costa Rica",37,"Costa Rica","total -  Mystery"
"total -  Romance  -  Costa Rica",129,"Costa Rica","total -  Romance"
"total -  Thriller  -  Costa Rica",63,"Costa Rica","total -  Thriller"
"total -  Action  -  Croatia",172,"Croatia","total -  Action"
"total -  Adventure  -  Croatia",116,"Croatia","total -  Adventure"
"total -  Animation  -  Croatia",48,"Croatia","total -  Animation"
"total -  Comedy  -  Croatia",198,"Croatia","total -  Comedy"
"total -  Crime  -  Croatia",127,"Croatia","total -  Crime"
"total -  Drama  -  Croatia",289,"Croatia","total -  Drama"
"total -  Fantasy  -  Croatia",32,"Croatia","total -  Fantasy"
"total -  Mystery  -  Croatia",44,"Croatia","total -  Mystery"
"total -  Romance  -  Croatia",94,"Croatia","total -  Romance"
