"id","n","label","parent"
"total -  Romance  -  Kenya",93,"Kenya","total -  Romance"
"total -  Sci Fi  -  Kenya",35,"Kenya","total -  Sci Fi"
"total -  Thriller  -  Kenya",81,"Kenya","total -  Thriller"
"total -  Action  -  Kuwait",221,"Kuwait","total -  Action"
"total -  Adventure  -  Kuwait",135,"Kuwait","total -  Adventure"
"total -  Animation  -  Kuwait",48,"Kuwait","total -  Animation"
"total -  Comedy  -  Kuwait",151,"Kuwait","total -  Comedy"
"total -  Crime  -  Kuwait",131,"Kuwait","total -  Crime"
"total -  Drama  -  Kuwait",317,"Kuwait","total -  Drama"
"total -  Fantasy  -  Kuwait",51,"Kuwait","total -  Fantasy"
"total -  Mystery  -  Kuwait",48,"Kuwait","total -  Mystery"
"total -  Romance  -  Kuwait",77,"Kuwait","total -  Romance"
"total -  Thriller  -  Kuwait",86,"Kuwait","total -  Thriller"
"total -  Action  -  Latvia",171,"Latvia","total -  Action"
"total -  Adventure  -  Latvia",146,"Latvia","total -  Adventure"
"total -  Animation  -  Latvia",80,"Latvia","total -  Animation"
"total -  Comedy  -  Latvia",239,"Latvia","total -  Comedy"
"total -  Crime  -  Latvia",118,"Latvia","total -  Crime"
"total -  Drama  -  Latvia",268,"Latvia","total -  Drama"
"total -  Mystery  -  Latvia",60,"Latvia","total -  Mystery"
"total -  Romance  -  Latvia",96,"Latvia","total -  Romance"
"total -  Sci Fi  -  Latvia",53,"Latvia","total -  Sci Fi"
"total -  Thriller  -  Latvia",52,"Latvia","total -  Thriller"
"total -  Action  -  Lebanon",199,"Lebanon","total -  Action"
"total -  Adventure  -  Lebanon",107,"Lebanon","total -  Adventure"
"total -  Comedy  -  Lebanon",163,"Lebanon","total -  Comedy"
"total -  Crime  -  Lebanon",142,"Lebanon","total -  Crime"
"total -  Drama  -  Lebanon",363,"Lebanon","total -  Drama"
"total -  Fantasy  -  Lebanon",55,"Lebanon","total -  Fantasy"
"total -  Horror  -  Lebanon",25,"Lebanon","total -  Horror"
"total -  Mystery  -  Lebanon",34,"Lebanon","total -  Mystery"
"total -  Romance  -  Lebanon",118,"Lebanon","total -  Romance"
"total -  Thriller  -  Lebanon",78,"Lebanon","total -  Thriller"
"total -  Action  -  Lithuania",147,"Lithuania","total -  Action"
"total -  Adventure  -  Lithuania",102,"Lithuania","total -  Adventure"
"total -  Animation  -  Lithuania",46,"Lithuania","total -  Animation"
"total -  Comedy  -  Lithuania",210,"Lithuania","total -  Comedy"
"total -  Crime  -  Lithuania",129,"Lithuania","total -  Crime"
"total -  Drama  -  Lithuania",269,"Lithuania","total -  Drama"
"total -  Fantasy  -  Lithuania",39,"Lithuania","total -  Fantasy"
"total -  Mystery  -  Lithuania",45,"Lithuania","total -  Mystery"
"total -  Romance  -  Lithuania",110,"Lithuania","total -  Romance"
"total -  Thriller  -  Lithuania",57,"Lithuania","total -  Thriller"
"total -  Action  -  Luxembourg",180,"Luxembourg","total -  Action"
"total -  Adventure  -  Luxembourg",126,"Luxembourg","total -  Adventure"
"total -  Animation  -  Luxembourg",46,"Luxembourg","total -  Animation"
"total -  Comedy  -  Luxembourg",173,"Luxembourg","total -  Comedy"
"total -  Crime  -  Luxembourg",145,"Luxembourg","total -  Crime"
"total -  Drama  -  Luxembourg",334,"Luxembourg","total -  Drama"
"total -  Fantasy  -  Luxembourg",53,"Luxembourg","total -  Fantasy"
"total -  Mystery  -  Luxembourg",47,"Luxembourg","total -  Mystery"
"total -  Romance  -  Luxembourg",93,"Luxembourg","total -  Romance"
"total -  Thriller  -  Luxembourg",55,"Luxembourg","total -  Thriller"
"total -  Action  -  Malaysia",230,"Malaysia","total -  Action"
"total -  Adventure  -  Malaysia",111,"Malaysia","total -  Adventure"
"total -  Animation  -  Malaysia",37,"Malaysia","total -  Animation"
"total -  Comedy  -  Malaysia",189,"Malaysia","total -  Comedy"
"total -  Crime  -  Malaysia",154,"Malaysia","total -  Crime"
"total -  Drama  -  Malaysia",336,"Malaysia","total -  Drama"
"total -  Fantasy  -  Malaysia",57,"Malaysia","total -  Fantasy"
"total -  Horror  -  Malaysia",37,"Malaysia","total -  Horror"
"total -  Mystery  -  Malaysia",69,"Malaysia","total -  Mystery"
"total -  Romance  -  Malaysia",102,"Malaysia","total -  Romance"
"total -  Thriller  -  Malaysia",85,"Malaysia","total -  Thriller"
"total -  Action  -  Maldives",196,"Maldives","total -  Action"
"total -  Adventure  -  Maldives",110,"Maldives","total -  Adventure"
"total -  Animation  -  Maldives",45,"Maldives","total -  Animation"
"total -  Comedy  -  Maldives",188,"Maldives","total -  Comedy"
"total -  Crime  -  Maldives",160,"Maldives","total -  Crime"
"total -  Drama  -  Maldives",322,"Maldives","total -  Drama"
"total -  Fantasy  -  Maldives",39,"Maldives","total -  Fantasy"
"total -  Mystery  -  Maldives",69,"Maldives","total -  Mystery"
"total -  Romance  -  Maldives",97,"Maldives","total -  Romance"
"total -  Thriller  -  Maldives",65,"Maldives","total -  Thriller"
"total -  Action  -  Malta",180,"Malta","total -  Action"
"total -  Adventure  -  Malta",90,"Malta","total -  Adventure"
"total -  Comedy  -  Malta",163,"Malta","total -  Comedy"
"total -  Crime  -  Malta",151,"Malta","total -  Crime"
"total -  Drama  -  Malta",331,"Malta","total -  Drama"
"total -  Fantasy  -  Malta",31,"Malta","total -  Fantasy"
"total -  Mystery  -  Malta",57,"Malta","total -  Mystery"
"total -  Romance  -  Malta",94,"Malta","total -  Romance"
"total -  Sci Fi  -  Malta",37,"Malta","total -  Sci Fi"
"total -  Thriller  -  Malta",72,"Malta","total -  Thriller"
"total -  Action  -  Martinique",218,"Martinique","total -  Action"
"total -  Adventure  -  Martinique",107,"Martinique","total -  Adventure"
"total -  Animation  -  Martinique",41,"Martinique","total -  Animation"
"total -  Comedy  -  Martinique",151,"Martinique","total -  Comedy"
"total -  Crime  -  Martinique",158,"Martinique","total -  Crime"
"total -  Drama  -  Martinique",345,"Martinique","total -  Drama"
"total -  Fantasy  -  Martinique",48,"Martinique","total -  Fantasy"
"total -  Mystery  -  Martinique",42,"Martinique","total -  Mystery"
"total -  Romance  -  Martinique",82,"Martinique","total -  Romance"
"total -  Thriller  -  Martinique",70,"Martinique","total -  Thriller"
"total -  Action  -  Mauritius",210,"Mauritius","total -  Action"
"total -  Adventure  -  Mauritius",112,"Mauritius","total -  Adventure"
"total -  Comedy  -  Mauritius",191,"Mauritius","total -  Comedy"
"total -  Crime  -  Mauritius",146,"Mauritius","total -  Crime"
"total -  Drama  -  Mauritius",320,"Mauritius","total -  Drama"
"total -  Fantasy  -  Mauritius",48,"Mauritius","total -  Fantasy"
"total -  Mystery  -  Mauritius",58,"Mauritius","total -  Mystery"
"total -  Romance  -  Mauritius",92,"Mauritius","total -  Romance"
"total -  Sci Fi  -  Mauritius",40,"Mauritius","total -  Sci Fi"
"total -  Thriller  -  Mauritius",64,"Mauritius","total -  Thriller"
"total -  Action  -  Mexico",125,"Mexico","total -  Action"
"total -  Adventure  -  Mexico",135,"Mexico","total -  Adventure"
"total -  Animation  -  Mexico",88,"Mexico","total -  Animation"
"total -  Comedy  -  Mexico",217,"Mexico","total -  Comedy"
"total -  Crime  -  Mexico",102,"Mexico","total -  Crime"
"total -  Drama  -  Mexico",331,"Mexico","total -  Drama"
"total -  Fantasy  -  Mexico",39,"Mexico","total -  Fantasy"
"total -  Mystery  -  Mexico",42,"Mexico","total -  Mystery"
"total -  Romance  -  Mexico",107,"Mexico","total -  Romance"
"total -  Thriller  -  Mexico",57,"Mexico","total -  Thriller"
"total -  Action  -  Morocco",251,"Morocco","total -  Action"
"total -  Adventure  -  Morocco",98,"Morocco","total -  Adventure"
"total -  Animation  -  Morocco",30,"Morocco","total -  Animation"
"total -  Comedy  -  Morocco",160,"Morocco","total -  Comedy"
"total -  Crime  -  Morocco",195,"Morocco","total -  Crime"
"total -  Drama  -  Morocco",363,"Morocco","total -  Drama"
"total -  Fantasy  -  Morocco",36,"Morocco","total -  Fantasy"
"total -  Horror  -  Morocco",30,"Morocco","total -  Horror"
"total -  Mystery  -  Morocco",57,"Morocco","total -  Mystery"
"total -  Romance  -  Morocco",76,"Morocco","total -  Romance"
"total -  Thriller  -  Morocco",92,"Morocco","total -  Thriller"
"total -  Action  -  Netherlands",166,"Netherlands","total -  Action"
"total -  Adventure  -  Netherlands",124,"Netherlands","total -  Adventure"
"total -  Animation  -  Netherlands",55,"Netherlands","total -  Animation"
"total -  Comedy  -  Netherlands",160,"Netherlands","total -  Comedy"
"total -  Crime  -  Netherlands",153,"Netherlands","total -  Crime"
"total -  Drama  -  Netherlands",331,"Netherlands","total -  Drama"
"total -  Fantasy  -  Netherlands",44,"Netherlands","total -  Fantasy"
"total -  Mystery  -  Netherlands",51,"Netherlands","total -  Mystery"
"total -  Romance  -  Netherlands",86,"Netherlands","total -  Romance"
"total -  Thriller  -  Netherlands",57,"Netherlands","total -  Thriller"
"total -  Action  -  New Caledonia",262,"New Caledonia","total -  Action"
"total -  Adventure  -  New Caledonia",135,"New Caledonia","total -  Adventure"
"total -  Animation  -  New Caledonia",57,"New Caledonia","total -  Animation"
"total -  Comedy  -  New Caledonia",136,"New Caledonia","total -  Comedy"
"total -  Crime  -  New Caledonia",161,"New Caledonia","total -  Crime"
"total -  Drama  -  New Caledonia",336,"New Caledonia","total -  Drama"
"total -  Fantasy  -  New Caledonia",60,"New Caledonia","total -  Fantasy"
"total -  Romance  -  New Caledonia",55,"New Caledonia","total -  Romance"
"total -  Sci Fi  -  New Caledonia",44,"New Caledonia","total -  Sci Fi"
"total -  Thriller  -  New Caledonia",67,"New Caledonia","total -  Thriller"
"total -  Action  -  New Zealand",199,"New Zealand","total -  Action"
"total -  Adventure  -  New Zealand",124,"New Zealand","total -  Adventure"
"total -  Animation  -  New Zealand",66,"New Zealand","total -  Animation"
"total -  Comedy  -  New Zealand",169,"New Zealand","total -  Comedy"
"total -  Crime  -  New Zealand",142,"New Zealand","total -  Crime"
"total -  Drama  -  New Zealand",287,"New Zealand","total -  Drama"
"total -  Mystery  -  New Zealand",45,"New Zealand","total -  Mystery"
"total -  Romance  -  New Zealand",60,"New Zealand","total -  Romance"
"total -  Sci Fi  -  New Zealand",38,"New Zealand","total -  Sci Fi"
"total -  Thriller  -  New Zealand",67,"New Zealand","total -  Thriller"
"total -  Action  -  Nicaragua",134,"Nicaragua","total -  Action"
"total -  Adventure  -  Nicaragua",86,"Nicaragua","total -  Adventure"
"total -  Animation  -  Nicaragua",42,"Nicaragua","total -  Animation"
"total -  Comedy  -  Nicaragua",192,"Nicaragua","total -  Comedy"
"total -  Crime  -  Nicaragua",99,"Nicaragua","total -  Crime"
"total -  Drama  -  Nicaragua",313,"Nicaragua","total -  Drama"
"total -  Fantasy  -  Nicaragua",36,"Nicaragua","total -  Fantasy"
"total -  Mystery  -  Nicaragua",39,"Nicaragua","total -  Mystery"
"total -  Romance  -  Nicaragua",119,"Nicaragua","total -  Romance"
"total -  Thriller  -  Nicaragua",65,"Nicaragua","total -  Thriller"
"total -  Action  -  Nigeria",182,"Nigeria","total -  Action"
"total -  Adventure  -  Nigeria",70,"Nigeria","total -  Adventure"
"total -  Comedy  -  Nigeria",135,"Nigeria","total -  Comedy"
"total -  Crime  -  Nigeria",146,"Nigeria","total -  Crime"
"total -  Drama  -  Nigeria",351,"Nigeria","total -  Drama"
"total -  Fantasy  -  Nigeria",40,"Nigeria","total -  Fantasy"
"total -  Mystery  -  Nigeria",67,"Nigeria","total -  Mystery"
"total -  Romance  -  Nigeria",109,"Nigeria","total -  Romance"
"total -  Sci Fi  -  Nigeria",36,"Nigeria","total -  Sci Fi"
"total -  Thriller  -  Nigeria",59,"Nigeria","total -  Thriller"
"total -  Action  -  Norway",183,"Norway","total -  Action"
"total -  Adventure  -  Norway",130,"Norway","total -  Adventure"
"total -  Animation  -  Norway",46,"Norway","total -  Animation"
"total -  Comedy  -  Norway",182,"Norway","total -  Comedy"
"total -  Crime  -  Norway",140,"Norway","total -  Crime"
"total -  Drama  -  Norway",341,"Norway","total -  Drama"
"total -  Fantasy  -  Norway",44,"Norway","total -  Fantasy"
"total -  Mystery  -  Norway",46,"Norway","total -  Mystery"
"total -  Romance  -  Norway",104,"Norway","total -  Romance"
"total -  Thriller  -  Norway",53,"Norway","total -  Thriller"
"total -  Action  -  Oman",196,"Oman","total -  Action"
"total -  Adventure  -  Oman",102,"Oman","total -  Adventure"
"total -  Comedy  -  Oman",115,"Oman","total -  Comedy"
"total -  Crime  -  Oman",125,"Oman","total -  Crime"
"total -  Drama  -  Oman",278,"Oman","total -  Drama"
"total -  Fantasy  -  Oman",45,"Oman","total -  Fantasy"
"total -  Horror  -  Oman",37,"Oman","total -  Horror"
"total -  Mystery  -  Oman",43,"Oman","total -  Mystery"
"total -  Romance  -  Oman",58,"Oman","total -  Romance"
"total -  Thriller  -  Oman",78,"Oman","total -  Thriller"
"total -  Action  -  Pakistan",291,"Pakistan","total -  Action"
"total -  Adventure  -  Pakistan",104,"Pakistan","total -  Adventure"
"total -  Comedy  -  Pakistan",150,"Pakistan","total -  Comedy"
"total -  Crime  -  Pakistan",230,"Pakistan","total -  Crime"
"total -  Drama  -  Pakistan",378,"Pakistan","total -  Drama"
"total -  Fantasy  -  Pakistan",42,"Pakistan","total -  Fantasy"
"total -  Mystery  -  Pakistan",84,"Pakistan","total -  Mystery"
"total -  Romance  -  Pakistan",48,"Pakistan","total -  Romance"
"total -  Sci Fi  -  Pakistan",44,"Pakistan","total -  Sci Fi"
"total -  Thriller  -  Pakistan",86,"Pakistan","total -  Thriller"
"total -  Action  -  Panama",148,"Panama","total -  Action"
"total -  Adventure  -  Panama",109,"Panama","total -  Adventure"
"total -  Animation  -  Panama",59,"Panama","total -  Animation"
"total -  Comedy  -  Panama",188,"Panama","total -  Comedy"
"total -  Crime  -  Panama",121,"Panama","total -  Crime"
"total -  Drama  -  Panama",324,"Panama","total -  Drama"
"total -  Fantasy  -  Panama",37,"Panama","total -  Fantasy"
"total -  Mystery  -  Panama",34,"Panama","total -  Mystery"
"total -  Romance  -  Panama",120,"Panama","total -  Romance"
"total -  Thriller  -  Panama",65,"Panama","total -  Thriller"
"total -  Action  -  Paraguay",140,"Paraguay","total -  Action"
"total -  Adventure  -  Paraguay",104,"Paraguay","total -  Adventure"
"total -  Animation  -  Paraguay",53,"Paraguay","total -  Animation"
"total -  Comedy  -  Paraguay",198,"Paraguay","total -  Comedy"
"total -  Crime  -  Paraguay",110,"Paraguay","total -  Crime"
"total -  Drama  -  Paraguay",330,"Paraguay","total -  Drama"
"total -  Music  -  Paraguay",34,"Paraguay","total -  Music"
"total -  Mystery  -  Paraguay",44,"Paraguay","total -  Mystery"
"total -  Romance  -  Paraguay",117,"Paraguay","total -  Romance"
"total -  Thriller  -  Paraguay",67,"Paraguay","total -  Thriller"
"total -  Action  -  Peru",161,"Peru","total -  Action"
"total -  Adventure  -  Peru",120,"Peru","total -  Adventure"
"total -  Animation  -  Peru",65,"Peru","total -  Animation"
"total -  Comedy  -  Peru",188,"Peru","total -  Comedy"
"total -  Crime  -  Peru",104,"Peru","total -  Crime"
"total -  Drama  -  Peru",297,"Peru","total -  Drama"
"total -  Fantasy  -  Peru",39,"Peru","total -  Fantasy"
"total -  Mystery  -  Peru",37,"Peru","total -  Mystery"
"total -  Romance  -  Peru",108,"Peru","total -  Romance"
"total -  Thriller  -  Peru",62,"Peru","total -  Thriller"
"total -  Action  -  Philippines",208,"Philippines","total -  Action"
"total -  Adventure  -  Philippines",97,"Philippines","total -  Adventure"
"total -  Comedy  -  Philippines",142,"Philippines","total -  Comedy"
"total -  Crime  -  Philippines",119,"Philippines","total -  Crime"
"total -  Drama  -  Philippines",334,"Philippines","total -  Drama"
"total -  Fantasy  -  Philippines",46,"Philippines","total -  Fantasy"
"total -  Mystery  -  Philippines",63,"Philippines","total -  Mystery"
"total -  Romance  -  Philippines",120,"Philippines","total -  Romance"
"total -  Sci Fi  -  Philippines",47,"Philippines","total -  Sci Fi"
"total -  Thriller  -  Philippines",78,"Philippines","total -  Thriller"
"total -  Action  -  Poland",154,"Poland","total -  Action"
"total -  Adventure  -  Poland",172,"Poland","total -  Adventure"
"total -  Animation  -  Poland",101,"Poland","total -  Animation"
"total -  Comedy  -  Poland",205,"Poland","total -  Comedy"
"total -  Crime  -  Poland",140,"Poland","total -  Crime"
"total -  Drama  -  Poland",303,"Poland","total -  Drama"
"total -  Fantasy  -  Poland",45,"Poland","total -  Fantasy"
"total -  Mystery  -  Poland",51,"Poland","total -  Mystery"
"total -  Romance  -  Poland",78,"Poland","total -  Romance"
"total -  Thriller  -  Poland",78,"Poland","total -  Thriller"
"total -  Action  -  Portugal",168,"Portugal","total -  Action"
"total -  Adventure  -  Portugal",107,"Portugal","total -  Adventure"
"total -  Animation  -  Portugal",34,"Portugal","total -  Animation"
"total -  Comedy  -  Portugal",161,"Portugal","total -  Comedy"
"total -  Crime  -  Portugal",112,"Portugal","total -  Crime"
"total -  Drama  -  Portugal",306,"Portugal","total -  Drama"
"total -  Family  -  Portugal",45,"Portugal","total -  Family"
"total -  Music  -  Portugal",53,"Portugal","total -  Music"
"total -  Mystery  -  Portugal",34,"Portugal","total -  Mystery"
"total -  Romance  -  Portugal",93,"Portugal","total -  Romance"
"total -  Thriller  -  Portugal",59,"Portugal","total -  Thriller"
"total -  Action  -  Qatar",213,"Qatar","total -  Action"
"total -  Adventure  -  Qatar",125,"Qatar","total -  Adventure"
"total -  Comedy  -  Qatar",148,"Qatar","total -  Comedy"
"total -  Crime  -  Qatar",136,"Qatar","total -  Crime"
"total -  Drama  -  Qatar",334,"Qatar","total -  Drama"
"total -  Fantasy  -  Qatar",53,"Qatar","total -  Fantasy"
"total -  Horror  -  Qatar",32,"Qatar","total -  Horror"
"total -  Mystery  -  Qatar",45,"Qatar","total -  Mystery"
"total -  Romance  -  Qatar",104,"Qatar","total -  Romance"
"total -  Thriller  -  Qatar",84,"Qatar","total -  Thriller"
"total -  Action  -  Réunion",214,"Réunion","total -  Action"
"total -  Adventure  -  Réunion",134,"Réunion","total -  Adventure"
"total -  Animation  -  Réunion",53,"Réunion","total -  Animation"
"total -  Comedy  -  Réunion",164,"Réunion","total -  Comedy"
"total -  Crime  -  Réunion",137,"Réunion","total -  Crime"
"total -  Drama  -  Réunion",332,"Réunion","total -  Drama"
"total -  Fantasy  -  Réunion",58,"Réunion","total -  Fantasy"
"total -  Romance  -  Réunion",74,"Réunion","total -  Romance"
"total -  Sci Fi  -  Réunion",45,"Réunion","total -  Sci Fi"
"total -  Thriller  -  Réunion",61,"Réunion","total -  Thriller"
"total -  Action  -  Romania",180,"Romania","total -  Action"
"total -  Adventure  -  Romania",102,"Romania","total -  Adventure"
"total -  Comedy  -  Romania",148,"Romania","total -  Comedy"
"total -  Crime  -  Romania",146,"Romania","total -  Crime"
"total -  Drama  -  Romania",352,"Romania","total -  Drama"
"total -  Family  -  Romania",26,"Romania","total -  Family"
"total -  Fantasy  -  Romania",45,"Romania","total -  Fantasy"
"total -  Horror  -  Romania",26,"Romania","total -  Horror"
"total -  Mystery  -  Romania",70,"Romania","total -  Mystery"
"total -  Romance  -  Romania",99,"Romania","total -  Romance"
"total -  Thriller  -  Romania",85,"Romania","total -  Thriller"
"total -  Action  -  Russia",252,"Russia","total -  Action"
"total -  Adventure  -  Russia",131,"Russia","total -  Adventure"
"total -  Animation  -  Russia",50,"Russia","total -  Animation"
"total -  Comedy  -  Russia",176,"Russia","total -  Comedy"
"total -  Crime  -  Russia",212,"Russia","total -  Crime"
"total -  Drama  -  Russia",326,"Russia","total -  Drama"
"total -  Fantasy  -  Russia",43,"Russia","total -  Fantasy"
"total -  Mystery  -  Russia",48,"Russia","total -  Mystery"
"total -  Romance  -  Russia",57,"Russia","total -  Romance"
"total -  Thriller  -  Russia",62,"Russia","total -  Thriller"
"total -  Action  -  Saudi Arabia",240,"Saudi Arabia","total -  Action"
"total -  Adventure  -  Saudi Arabia",102,"Saudi Arabia","total -  Adventure"
"total -  Comedy  -  Saudi Arabia",142,"Saudi Arabia","total -  Comedy"
"total -  Crime  -  Saudi Arabia",162,"Saudi Arabia","total -  Crime"
"total -  Drama  -  Saudi Arabia",328,"Saudi Arabia","total -  Drama"
"total -  Fantasy  -  Saudi Arabia",41,"Saudi Arabia","total -  Fantasy"
"total -  Horror  -  Saudi Arabia",41,"Saudi Arabia","total -  Horror"
"total -  Mystery  -  Saudi Arabia",48,"Saudi Arabia","total -  Mystery"
"total -  Romance  -  Saudi Arabia",83,"Saudi Arabia","total -  Romance"
"total -  Thriller  -  Saudi Arabia",92,"Saudi Arabia","total -  Thriller"
"total -  Action  -  Serbia",205,"Serbia","total -  Action"
"total -  Adventure  -  Serbia",115,"Serbia","total -  Adventure"
"total -  Animation  -  Serbia",34,"Serbia","total -  Animation"
"total -  Comedy  -  Serbia",181,"Serbia","total -  Comedy"
"total -  Crime  -  Serbia",149,"Serbia","total -  Crime"
"total -  Drama  -  Serbia",313,"Serbia","total -  Drama"
"total -  Fantasy  -  Serbia",33,"Serbia","total -  Fantasy"
"total -  Mystery  -  Serbia",44,"Serbia","total -  Mystery"
"total -  Romance  -  Serbia",94,"Serbia","total -  Romance"
"total -  Thriller  -  Serbia",72,"Serbia","total -  Thriller"
"total -  Action  -  Singapore",227,"Singapore","total -  Action"
"total -  Adventure  -  Singapore",108,"Singapore","total -  Adventure"
"total -  Comedy  -  Singapore",158,"Singapore","total -  Comedy"
"total -  Crime  -  Singapore",133,"Singapore","total -  Crime"
"total -  Drama  -  Singapore",337,"Singapore","total -  Drama"
"total -  Fantasy  -  Singapore",47,"Singapore","total -  Fantasy"
"total -  Mystery  -  Singapore",73,"Singapore","total -  Mystery"
"total -  Romance  -  Singapore",90,"Singapore","total -  Romance"
"total -  Sci Fi  -  Singapore",46,"Singapore","total -  Sci Fi"
"total -  Thriller  -  Singapore",86,"Singapore","total -  Thriller"
"total -  Action  -  Slovakia",193,"Slovakia","total -  Action"
"total -  Adventure  -  Slovakia",143,"Slovakia","total -  Adventure"
"total -  Animation  -  Slovakia",69,"Slovakia","total -  Animation"
"total -  Comedy  -  Slovakia",189,"Slovakia","total -  Comedy"
"total -  Crime  -  Slovakia",138,"Slovakia","total -  Crime"
"total -  Drama  -  Slovakia",299,"Slovakia","total -  Drama"
"total -  Fantasy  -  Slovakia",39,"Slovakia","total -  Fantasy"
"total -  Mystery  -  Slovakia",45,"Slovakia","total -  Mystery"
"total -  Romance  -  Slovakia",80,"Slovakia","total -  Romance"
"total -  Thriller  -  Slovakia",48,"Slovakia","total -  Thriller"
"total -  Action  -  Slovenia",183,"Slovenia","total -  Action"
"total -  Adventure  -  Slovenia",119,"Slovenia","total -  Adventure"
"total -  Animation  -  Slovenia",39,"Slovenia","total -  Animation"
"total -  Comedy  -  Slovenia",189,"Slovenia","total -  Comedy"
"total -  Crime  -  Slovenia",116,"Slovenia","total -  Crime"
"total -  Drama  -  Slovenia",266,"Slovenia","total -  Drama"
"total -  Fantasy  -  Slovenia",38,"Slovenia","total -  Fantasy"
"total -  Mystery  -  Slovenia",38,"Slovenia","total -  Mystery"
"total -  Romance  -  Slovenia",86,"Slovenia","total -  Romance"
"total -  Thriller  -  Slovenia",55,"Slovenia","total -  Thriller"
"total -  Action  -  South Africa",186,"South Africa","total -  Action"
"total -  Adventure  -  South Africa",106,"South Africa","total -  Adventure"
"total -  Animation  -  South Africa",45,"South Africa","total -  Animation"
"total -  Comedy  -  South Africa",192,"South Africa","total -  Comedy"
"total -  Crime  -  South Africa",114,"South Africa","total -  Crime"
"total -  Drama  -  South Africa",331,"South Africa","total -  Drama"
"total -  Mystery  -  South Africa",61,"South Africa","total -  Mystery"
"total -  Romance  -  South Africa",96,"South Africa","total -  Romance"
"total -  Sci Fi  -  South Africa",49,"South Africa","total -  Sci Fi"
"total -  Thriller  -  South Africa",62,"South Africa","total -  Thriller"
"total -  Action  -  South Korea",197,"South Korea","total -  Action"
"total -  Adventure  -  South Korea",77,"South Korea","total -  Adventure"
"total -  Comedy  -  South Korea",143,"South Korea","total -  Comedy"
"total -  Crime  -  South Korea",93,"South Korea","total -  Crime"
"total -  Drama  -  South Korea",312,"South Korea","total -  Drama"
"total -  Fantasy  -  South Korea",50,"South Korea","total -  Fantasy"
"total -  Horror  -  South Korea",38,"South Korea","total -  Horror"
"total -  Mystery  -  South Korea",41,"South Korea","total -  Mystery"
"total -  Romance  -  South Korea",102,"South Korea","total -  Romance"
"total -  Sci Fi  -  South Korea",38,"South Korea","total -  Sci Fi"
"total -  Thriller  -  South Korea",92,"South Korea","total -  Thriller"
"total -  Action  -  Spain",172,"Spain","total -  Action"
"total -  Adventure  -  Spain",108,"Spain","total -  Adventure"
"total -  Comedy  -  Spain",165,"Spain","total -  Comedy"
"total -  Crime  -  Spain",138,"Spain","total -  Crime"
"total -  Drama  -  Spain",317,"Spain","total -  Drama"
"total -  Fantasy  -  Spain",37,"Spain","total -  Fantasy"
"total -  Horror  -  Spain",34,"Spain","total -  Horror"
"total -  Mystery  -  Spain",47,"Spain","total -  Mystery"
"total -  Romance  -  Spain",104,"Spain","total -  Romance"
"total -  Thriller  -  Spain",56,"Spain","total -  Thriller"
"total -  Action  -  Sri Lanka",194,"Sri Lanka","total -  Action"
"total -  Adventure  -  Sri Lanka",83,"Sri Lanka","total -  Adventure"
"total -  Comedy  -  Sri Lanka",178,"Sri Lanka","total -  Comedy"
"total -  Crime  -  Sri Lanka",152,"Sri Lanka","total -  Crime"
"total -  Drama  -  Sri Lanka",372,"Sri Lanka","total -  Drama"
"total -  Fantasy  -  Sri Lanka",37,"Sri Lanka","total -  Fantasy"
"total -  Mystery  -  Sri Lanka",75,"Sri Lanka","total -  Mystery"
"total -  Romance  -  Sri Lanka",104,"Sri Lanka","total -  Romance"
"total -  Sci Fi  -  Sri Lanka",37,"Sri Lanka","total -  Sci Fi"
"total -  Thriller  -  Sri Lanka",69,"Sri Lanka","total -  Thriller"
"total -  Action  -  Sweden",188,"Sweden","total -  Action"
"total -  Adventure  -  Sweden",136,"Sweden","total -  Adventure"
"total -  Animation  -  Sweden",52,"Sweden","total -  Animation"
"total -  Comedy  -  Sweden",162,"Sweden","total -  Comedy"
"total -  Crime  -  Sweden",137,"Sweden","total -  Crime"
"total -  Drama  -  Sweden",337,"Sweden","total -  Drama"
"total -  Fantasy  -  Sweden",49,"Sweden","total -  Fantasy"
"total -  Mystery  -  Sweden",51,"Sweden","total -  Mystery"
"total -  Romance  -  Sweden",85,"Sweden","total -  Romance"
"total -  Thriller  -  Sweden",55,"Sweden","total -  Thriller"
"total -  Action  -  Switzerland",190,"Switzerland","total -  Action"
"total -  Adventure  -  Switzerland",126,"Switzerland","total -  Adventure"
"total -  Comedy  -  Switzerland",172,"Switzerland","total -  Comedy"
"total -  Crime  -  Switzerland",165,"Switzerland","total -  Crime"
"total -  Drama  -  Switzerland",328,"Switzerland","total -  Drama"
"total -  Family  -  Switzerland",42,"Switzerland","total -  Family"
"total -  Fantasy  -  Switzerland",60,"Switzerland","total -  Fantasy"
"total -  Mystery  -  Switzerland",55,"Switzerland","total -  Mystery"
"total -  Romance  -  Switzerland",87,"Switzerland","total -  Romance"
"total -  Thriller  -  Switzerland",57,"Switzerland","total -  Thriller"
"total -  Action  -  Taiwan",197,"Taiwan","total -  Action"
"total -  Adventure  -  Taiwan",97,"Taiwan","total -  Adventure"
"total -  Comedy  -  Taiwan",165,"Taiwan","total -  Comedy"
"total -  Crime  -  Taiwan",110,"Taiwan","total -  Crime"
"total -  Drama  -  Taiwan",366,"Taiwan","total -  Drama"
"total -  Fantasy  -  Taiwan",52,"Taiwan","total -  Fantasy"
